trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1042,False,"{'a': 0.5, 'e': 0.12468060146811931}",20,0,-21.75361090090144,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1043,False,"{'a': 0.5, 'e': 0.12443148946022826}",20,0,-3.0755268283734374,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
1044,False,"{'a': 0.5, 'e': 0.12418287517846102}",25,10,-67.95251406802727,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
1045,False,"{'a': 0.5, 'e': 0.12393475762836002}",30,12,20.719182207913725,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
1046,False,"{'a': 0.5, 'e': 0.12368713581745483}",25,13,24.35285218726064,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1047,False,"{'a': 0.5, 'e': 0.12344000875525778}",20,11,9.86234273202398,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1048,False,"{'a': 0.5, 'e': 0.12319337545326038}",20,0,-29.51956169191062,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
1049,False,"{'a': 0.5, 'e': 0.122947234924929}",30,12,30.771662492504383,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1050,False,"{'a': 0.5, 'e': 0.1227015861857013}",30,15,13.40672636739468,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
1051,False,"{'a': 0.5, 'e': 0.1224564282529819}",20,2,-2.0309312752103734,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
1052,False,"{'a': 0.5, 'e': 0.12221176014613884}",30,21,15.38776562472481,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1053,False,"{'a': 0.5, 'e': 0.12196758088649925}",20,10,6.8203862395308406,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
1054,False,"{'a': 0.5, 'e': 0.12172388949734589}",20,16,7.2615577557159785,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
